Farm_id;Time;Year;latitude;long;Severity;Severity Percent;SC1;SC2;SC3;SC4;SC5;SC6;SC7;SC8;;Av_RH2M;Sd_RH2M;Skew_RH2M;Kur_RH2M;Entr_RH2M;Av_T2MWET;Sd_T2MWET;Skew_T2MWET;Kur_T2MWET;Entr_T2MWET;Av_WD10M;Sd_WD10M;Skew_WD10M;Kur_WD10M;Entr_WD10M;Av_CLRSKY_SFC_PAR_TOT;Sd_CLRSKY_SFC_PAR_TOT;Skew_CLRSKY_SFC_PAR_TOT;Kur_CLRSKY_SFC_PAR_TOT;Entr_CLRSKY_SFC_PAR_TOT;Av_PS;Sd_PS;Skew_PS;Kur_PS;Entr_PS;Av_T2M_RANGE;Sd_T2M_RANGE;Skew_T2M_RANGE;Kur_T2M_RANGE;Entr_T2M_RANGE;Av_PRECTOTCORR;Sd_PRECTOTCORR;Skew_PRECTOTCORR;Kur_PRECTOTCORR;Entr_PRECTOTCORR;Av_ALLSKY_SFC_PAR_TOT;Sd_ALLSKY_SFC_PAR_TOT;Skew_ALLSKY_SFC_PAR_TOT;Kur_ALLSKY_SFC_PAR_TOT;Entr_ALLSKY_SFC_PAR_TOT;;;Av_WD10M;Sd_WD10M;Skew_WD10M;Kur_WD10M;Entr_WD10M;Av_PS;Sd_PS;Skew_PS;Kur_PS;Entr_PS;Av_RH2M;Sd_RH2M;Skew_RH2M;Kur_RH2M;Entr_RH2M;;;Av_WD10M;Sd_WD10M;Skew_WD10M;Kur_WD10M;Entr_WD10M;Av_RH2M;Sd_RH2M;Skew_RH2M;Kur_RH2M;Entr_RH2M;Av_PS;Sd_PS;Skew_PS;Kur_PS;Entr_PS;Av_WS10M;Sd_WS10M;Skew_WS10M;Kur_WS10M;Entr_WS10M
Farm 1;End;2020;31,0981838;-85,3912784;7;81,5;0;0;0;0;0;1;0;0;;74,572718;8,736574;-0,06617727;1,938656;4,627885;21,093592;4,08391;-0,91986638;2,858931;4,614644;192,123883;75,3361503;-0,25975388;2,092585;4,550357;147,620097;9,633426;-1,89904928;7,349979;4,632521;100,858641;0,3276118;-0,03119626;2,426191;4,634724;11,154563;3,0063892;0,03765196;2,163894;4,597899;4,262913;8,800933;5,66863116;44,948313;3,555438;122,527476;29,3524967;-1,07222264;3,857025;4,601888;;;192,123883;75,3361503;-0,25975388;2,092585;4,550357;100,858641;0,3276118;-0,03119626;2,426191;4,634724;74,572718;8,736574;-0,06617727;1,938656;4,627885;;;192,123883;75,3361503;-0,25975388;2,092585;4,550357;74,572718;8,736574;-0,06617727;1,938656;4,627885;100,858641;0,3276118;-0,03119626;2,426191;4,634724;3,24534;1,1154827;0,64941852;3,266503;4,577452
Farm 1;End;2021;31,0981838;-85,3912784;6;62,5;0,034869;0;0;0;0;0,919092;0,046039;0;;76,016418;9,3399007;0,16222694;2,333392;4,197263;19,62194;3,6753376;-0,61742831;2,935847;4,186366;189,175224;71,8964591;-0,08097268;2,085935;4,128572;147,545522;7,3160635;-0,74596025;2,626159;4,203465;101,010149;0,3707343;0,07001011;2,344602;4,204686;11,172985;3,0222162;-0,30497406;2,75926;4,166166;3,247164;7,3690505;4,14782103;24,332599;2,790537;121,879552;29,6242885;-0,91517772;2,87346;4,172253;;;189,175224;71,8964591;-0,08097268;2,085935;4,128572;101,010149;0,3707343;0,07001011;2,344602;4,204686;76,016418;9,3399007;0,16222694;2,333392;4,197263;;;189,175224;71,8964591;-0,08097268;2,085935;4,128572;76,016418;9,3399007;0,16222694;2,333392;4,197263;101,010149;0,3707343;0,07001011;2,344602;4,204686;3,118507;0,9606425;1,22108631;5,667401;4,161005
Farm 1;End;2022;31,0981838;-85,3912784;3;9;0;0;0;1;0;0;0;0;;70,708228;10,2942484;-0,08800859;2,73757;4,358836;21,93443;3,4762623;-0,90121686;3,557172;4,356221;167,592911;70,8291771;0,06199683;2,354942;4,274281;147,93038;6,9096785;-1,05455633;4,575841;4,368351;100,883797;0,3619438;0,30866592;3,337989;4,369442;12,19519;2,7909197;-0,25887624;2,988352;4,342294;3,109241;5,3280385;2,60409911;10,000907;3,352878;124,810253;29,2520596;-1,43585933;4,733172;4,33722;;;167,592911;70,8291771;0,06199683;2,354942;4,274281;100,883797;0,3619438;0,30866592;3,337989;4,369442;70,708228;10,2942484;-0,08800859;2,73757;4,358836;;;167,592911;70,8291771;0,06199683;2,354942;4,274281;70,708228;10,2942484;-0,08800859;2,73757;4,358836;100,883797;0,3619438;0,30866592;3,337989;4,369442;2,84038;0,8518659;0,58007424;3,101602;4,325948
Farm 1;Mid;2020;31,0981838;-85,3912784;7;81,5;0;0;0;0;0;1;0;0;;73,428913;9,7458623;0,201951074;1,95572;3,820054;17,553261;3,5036445;-0,338665631;2,010133;3,808428;195,452826;76,987142;-0,245264157;2,244615;3,743965;143,908913;11,0805861;-1,538952469;5,323564;3,825611;100,863478;0,4130279;-0,064345367;1,856396;3,828633;12,64087;2,9743069;-0,564433682;2,902784;3,799426;3,97913;11,7131284;5,32636605;33,036909;2,176756;124,307391;32,6528114;-1,482338194;4,756942;3,786686;;;195,452826;76,987142;-0,245264157;2,244615;3,743965;100,863478;0,4130279;-0,064345367;1,856396;3,828633;73,428913;9,7458623;0,201951074;1,95572;3,820054;;;195,452826;76,987142;-0,245264157;2,244615;3,743965;73,428913;9,7458623;0,201951074;1,95572;3,820054;100,863478;0,4130279;-0,064345367;1,856396;3,828633;3,656739;1,0594067;0,526852693;2,952465;3,788187
Farm 1;Mid;2021;31,0981838;-85,3912784;1;1,5;0;0;0;0;0;1;0;0;;77,875652;8,7311818;0,27078666;2,103431;3,822528;18,17413;3,3382201;-0,59063424;2,992375;3,811191;182,527826;76,5034401;-0,00475662;1,977074;3,73706;145,304783;7,5579223;-0,39077752;1,989525;3,827308;101,070435;0,3834229;-0,06236852;2,320276;3,828634;11,252174;2,9931365;-0,39641899;2,873827;3,791328;3,241304;8,2258507;4,14965949;22,61083;2,213049;120,753043;31,9394556;-0,97141348;2,751034;3,789913;;;182,527826;76,5034401;-0,00475662;1,977074;3,73706;101,070435;0,3834229;-0,06236852;2,320276;3,828634;77,875652;8,7311818;0,27078666;2,103431;3,822528;;;182,527826;76,5034401;-0,00475662;1,977074;3,73706;77,875652;8,7311818;0,27078666;2,103431;3,822528;101,070435;0,3834229;-0,06236852;2,320276;3,828634;3,248696;1,0251756;1,21808754;5,39208;3,783215
Farm 1;Mid;2022;31,0981838;-85,3912784;0;0;0;0;0;0;0;0;0;0;;72,876739;10,9570826;-0,1580289;2,470542;3,817389;19,850435;3,031944;-0,9396353;3,685673;3,816481;163,043261;66,0066496;-0,2771885;2,306354;3,73773;144,466304;6,7891107;-0,8534749;4,41934;3,827545;100,972391;0,3709638;0,362203;3,335233;3,828635;12,376957;3,1074962;-0,2897802;2,743272;3,796003;3,417391;6,528902;2,2692418;7,223071;2,580668;117,283043;33,2030266;-1,0856809;3,437548;3,782366;;;163,043261;66,0066496;-0,2771885;2,306354;3,73773;100,972391;0,3709638;0,362203;3,335233;3,828635;72,876739;10,9570826;-0,1580289;2,470542;3,817389;;;163,043261;66,0066496;-0,2771885;2,306354;3,73773;72,876739;10,9570826;-0,1580289;2,470542;3,817389;100,972391;0,3709638;0,362203;3,335233;3,828635;3,228478;0,8030856;0,4085467;3,396879;3,798469
Farm 10;End;2020;32,3399189;-80,5874389;6;62,5;0;0,005365;0,47378;0,520855;0;0;0;0;;75,9516;8,4617737;-0,85988607;2,598864;4,311134;20,034933;3,727179;-0,48684268;2,290732;4,299641;187,7432;68,4505395;-0,27796515;2,584594;4,244281;145,914133;8,0976502;-0,9285509;2,993177;4,31594;101,522133;0,4185764;-0,26737747;3,283234;4,31748;6,618667;2,068506;0,04154985;2,223446;4,267591;3,985867;7,4702252;3,21479954;14,600548;3,224965;118,489867;29,3257192;-0,98814532;3,072328;4,28344;;;187,7432;68,4505395;-0,27796515;2,584594;4,244281;101,522133;0,4185764;-0,26737747;3,283234;4,31748;75,9516;8,4617737;-0,85988607;2,598864;4,311134;;;187,7432;68,4505395;-0,27796515;2,584594;4,244281;75,9516;8,4617737;-0,85988607;2,598864;4,311134;101,522133;0,4185764;-0,26737747;3,283234;4,31748;5,32;1,5224749;0,56343861;2,987071;4,277819
Farm 10;End;2021;32,3399189;-80,5874389;3;9;0;0,003098;0,455047;0,522948;0;0;0;0,018908;;72,960658;8,9244811;-0,54505546;2,28176;4,323142;22,8425;3,1119122;-1,37240969;4,092322;4,320864;169,815395;61,9118845;-0,18661484;2,133857;4,259801;149,881184;4,6815795;-0,59725321;2,854643;4,330249;101,740921;0,4527668;-0,09599661;2,440884;4,330724;5,885526;2,1642473;0,75541148;3,529296;4,266007;4,156842;7,8911524;4,17851071;24,790512;3,321532;124,956579;26,6017229;-1,0189877;3,274133;4,305977;;;169,815395;61,9118845;-0,18661484;2,133857;4,259801;101,740921;0,4527668;-0,09599661;2,440884;4,330724;72,960658;8,9244811;-0,54505546;2,28176;4,323142;;;169,815395;61,9118845;-0,18661484;2,133857;4,259801;72,960658;8,9244811;-0,54505546;2,28176;4,323142;101,740921;0,4527668;-0,09599661;2,440884;4,330724;5,034342;1,4451753;0,89912851;4,368812;4,291684
Farm 10;End;2022;32,3399189;-80,5874389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 10;Mid;2020;32,3399189;-80,5874389;6;62,5;0;0,005817;0,51093;0,483252;0;0;0;0;;73,7;9,2178416;-0,49597469;1,892891;3,820793;18,013913;3,1704633;-0,31291021;1,977569;3,813047;199,516957;66,908384;-0,26682914;2,286926;3,768864;142,696522;8,392788;-0,54205785;2,11367;3,826929;101,47;0,4988253;-0,01414524;2,502298;3,82863;7,475217;1,8560936;-0,14644716;2,170098;3,797382;3,66087;8,8469462;3,10299491;12,367662;2,235615;124,934348;27,621066;-1,5852245;5,155239;3,800361;;;199,516957;66,908384;-0,26682914;2,286926;3,768864;101,47;0,4988253;-0,01414524;2,502298;3,82863;73,7;9,2178416;-0,49597469;1,892891;3,820793;;;199,516957;66,908384;-0,26682914;2,286926;3,768864;73,7;9,2178416;-0,49597469;1,892891;3,820793;101,47;0,4988253;-0,01414524;2,502298;3,82863;5,573913;1,5777417;0,67084415;2,870144;3,790615
Farm 10;Mid;2021;32,3399189;-80,5874389;4;18,5;0;0;0;1;0;0;0;0;;70,835435;9,830104;-0,03508364;1,985465;3,819145;21,582391;3,3636536;-0,83661635;2,727413;3,816095;170,988913;67,1353265;-0,16271063;2,040513;3,746718;149,076087;5,1976629;-0,43974358;2,370991;3,828044;101,743696;0,5053727;-0,04376206;2,260427;3,828629;6,633261;2,3412096;0,30790499;2,946783;3,766281;3,264783;5,3552598;2,42861842;9,997971;2,814934;126,27913;26,132216;-0,99476111;3,508357;3,805516;;;170,988913;67,1353265;-0,16271063;2,040513;3,746718;101,743696;0,5053727;-0,04376206;2,260427;3,828629;70,835435;9,830104;-0,03508364;1,985465;3,819145;;;170,988913;67,1353265;-0,16271063;2,040513;3,746718;70,835435;9,830104;-0,03508364;1,985465;3,819145;101,743696;0,5053727;-0,04376206;2,260427;3,828629;5,056087;1,1920784;0,08209099;2,595472;3,800989
Farm 10;Mid;2022;32,3399189;-80,5874389;5;37,5;0;0,002119;0,05971;0,938171;0;0;0;0;;69,963043;10,1815912;0,0428263;1,984028;3,818233;18,726522;3,774434;-0,84309613;3,339215;3,807058;168,334783;71,5040033;-0,3985306;2,360137;3,725044;141,700652;7,3827921;-0,17370011;2,819168;3,827308;101,60413;0,5319506;-0,01514157;3,223593;3,828628;7,637826;2,1456829;0,91601957;4,134478;3,791504;1,650652;3,3290008;2,35539812;7,408115;2,518616;124,653043;24,5952362;-1,13010127;3,383307;3,807638;;;168,334783;71,5040033;-0,3985306;2,360137;3,725044;101,60413;0,5319506;-0,01514157;3,223593;3,828628;69,963043;10,1815912;0,0428263;1,984028;3,818233;;;168,334783;71,5040033;-0,3985306;2,360137;3,725044;69,963043;10,1815912;0,0428263;1,984028;3,818233;101,60413;0,5319506;-0,01514157;3,223593;3,828628;5,239565;1,3112792;0,56351581;2,788716;3,798646
Farm 11-1;End;2022;34,8871259;-82,0158064;4;18,5;0;0,00772;0,906555;0,007388;0;0,078336;0;0;;68,042826;9,5383684;-0,58537552;4,324519;4,511646;22,504348;2,4713734;-0,88558048;3,195133;4,515588;193,359891;68,0682875;-0,46268763;2,524634;4,452393;149,083261;5,4520366;-0,1925321;2,609075;4,521125;98,624022;0,3099275;-0,04419495;2,244157;4,521784;12,175109;2,6719896;0,12286165;3,62733;4,497461;3,249891;5,4150664;3,51790502;18,665144;3,656794;121,680652;25,1816837;-0,88830503;3,511145;4,498564;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;98,624022;0,3099275;-0,04419495;2,244157;4,521784;68,042826;9,5383684;-0,58537552;4,324519;4,511646;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;68,042826;9,5383684;-0,58537552;4,324519;4,511646;98,624022;0,3099275;-0,04419495;2,244157;4,521784;2,167609;0,7237211;0,43921045;2,470957;4,467075
Farm 11-1;Mid;2022;34,8871259;-82,0158064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 11-2;End;2022;34,8871259;-82,0158064;3;9;0;0;0;0;0;1;0;0;;68,042826;9,5383684;-0,58537552;4,324519;4,511646;22,504348;2,4713734;-0,88558048;3,195133;4,515588;193,359891;68,0682875;-0,46268763;2,524634;4,452393;149,083261;5,4520366;-0,1925321;2,609075;4,521125;98,624022;0,3099275;-0,04419495;2,244157;4,521784;12,175109;2,6719896;0,12286165;3,62733;4,497461;3,249891;5,4150664;3,51790502;18,665144;3,656794;121,680652;25,1816837;-0,88830503;3,511145;4,498564;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;98,624022;0,3099275;-0,04419495;2,244157;4,521784;68,042826;9,5383684;-0,58537552;4,324519;4,511646;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;68,042826;9,5383684;-0,58537552;4,324519;4,511646;98,624022;0,3099275;-0,04419495;2,244157;4,521784;2,167609;0,7237211;0,43921045;2,470957;4,467075
Farm 11-2;Mid;2022;34,8871259;-82,0158064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 12;End;2022;35,0406756;-80,9458561;6;62,5;0;0;0;0;0;1;0;0;;67,382717;9,5266969;-0,60873265;3,629823;4,511481;22,722826;2,5403263;-0,98008304;3,352083;4,515332;186,237065;65,3099636;-0,61038211;2,663343;4,451232;148,532609;5,4597659;-0,40945972;3,941482;4,521116;99,26413;0,318082;-0,04258885;2,227904;4,521783;12,420761;2,8201497;0,08311246;2,547336;4,495873;3,019565;4,7356624;2,48843223;10,180238;3,620152;121,488261;24,4199309;-1,1488296;4,630487;4,499323;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;99,26413;0,318082;-0,04258885;2,227904;4,521783;67,382717;9,5266969;-0,60873265;3,629823;4,511481;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;67,382717;9,5266969;-0,60873265;3,629823;4,511481;99,26413;0,318082;-0,04258885;2,227904;4,521783;2,070435;0,6615349;0,46666339;2,632902;4,471818
Farm 12;Mid;2022;35,0406756;-80,9458561;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 13;End;2022;34,8127576;-81,2484422;7;81,5;0;0,026349;0,973651;0;0;0;0;0;;67,382717;9,5266969;-0,60873265;3,629823;4,511481;22,722826;2,5403263;-0,98008304;3,352083;4,515332;186,237065;65,3099636;-0,61038211;2,663343;4,451232;148,464783;5,3089173;-0,44289237;4,080094;4,521152;99,26413;0,318082;-0,04258885;2,227904;4,521783;12,420761;2,8201497;0,08311246;2,547336;4,495873;3,019565;4,7356624;2,48843223;10,180238;3,620152;120,365761;25,5328746;-0,82646341;3,094445;4,497545;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;99,26413;0,318082;-0,04258885;2,227904;4,521783;67,382717;9,5266969;-0,60873265;3,629823;4,511481;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;67,382717;9,5266969;-0,60873265;3,629823;4,511481;99,26413;0,318082;-0,04258885;2,227904;4,521783;2,070435;0,6615349;0,46666339;2,632902;4,471818
Farm 13;Mid;2022;34,8127576;-81,2484422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 14;End;2020;34,81950278;-81,98070278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 14;Mid;2020;34,81950278;-81,98070278;6;62,5;0,017665;0,024969;0,269527;0,626158;0;0;0;0,061681;;77,913913;7,0946401;0,01156992;1,847258;3,824577;22,631522;2,5695127;-1,58396358;5,276001;3,821875;190,547174;83,3353149;-0,6372997;2,18886;3,715384;150,446957;3,5506625;-0,1862214;2,289036;3,828369;98,577174;0,3177677;0,26699927;2,234579;3,828636;9,743913;2,1252153;-0,64859883;3,084471;3,803527;2,674348;2,8060266;1,11146598;3,114439;3,312473;122,976522;25,260526;-1,08288274;3,632661;3,805726;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;98,577174;0,3177677;0,26699927;2,234579;3,828636;77,913913;7,0946401;0,01156992;1,847258;3,824577;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;77,913913;7,0946401;0,01156992;1,847258;3,824577;98,577174;0,3177677;0,26699927;2,234579;3,828636;2,100217;0,8326197;1,12446813;3,930641;3,757725
Farm 15;End;2020;34,82093333;-81,9805;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 15;Mid;2020;34,82093333;-81,9805;7;81,5;0,033801;0,291307;0,410928;0,085138;0;0;0;0,178826;;77,913913;7,0946401;0,01156992;1,847258;3,824577;22,631522;2,5695127;-1,58396358;5,276001;3,821875;190,547174;83,3353149;-0,6372997;2,18886;3,715384;150,446957;3,5506625;-0,1862214;2,289036;3,828369;98,577174;0,3177677;0,26699927;2,234579;3,828636;9,743913;2,1252153;-0,64859883;3,084471;3,803527;2,674348;2,8060266;1,11146598;3,114439;3,312473;122,976522;25,260526;-1,08288274;3,632661;3,805726;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;98,577174;0,3177677;0,26699927;2,234579;3,828636;77,913913;7,0946401;0,01156992;1,847258;3,824577;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;77,913913;7,0946401;0,01156992;1,847258;3,824577;98,577174;0,3177677;0,26699927;2,234579;3,828636;2,100217;0,8326197;1,12446813;3,930641;3,757725
Farm 16;End;2020;34,817525;-81,97640278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 16;Mid;2020;34,817525;-81,97640278;6;62,5;0,028101;0,016732;0,775458;0,104585;0;0;0;0,075124;;77,913913;7,0946401;0,01156992;1,847258;3,824577;22,631522;2,5695127;-1,58396358;5,276001;3,821875;190,547174;83,3353149;-0,6372997;2,18886;3,715384;150,446957;3,5506625;-0,1862214;2,289036;3,828369;98,577174;0,3177677;0,26699927;2,234579;3,828636;9,743913;2,1252153;-0,64859883;3,084471;3,803527;2,674348;2,8060266;1,11146598;3,114439;3,312473;122,976522;25,260526;-1,08288274;3,632661;3,805726;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;98,577174;0,3177677;0,26699927;2,234579;3,828636;77,913913;7,0946401;0,01156992;1,847258;3,824577;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;77,913913;7,0946401;0,01156992;1,847258;3,824577;98,577174;0,3177677;0,26699927;2,234579;3,828636;2,100217;0,8326197;1,12446813;3,930641;3,757725
